superstructure	tag	structure
INDIVIDUAL_ATTRIBUTE_STRUCTURE.RESI	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_ATTRIBUTE_STRUCTURE.RESI	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_ATTRIBUTE_STRUCTURE.RESI	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_ATTRIBUTE_STRUCTURE.RESI	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_ATTRIBUTE_STRUCTURE.RESI	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_ATTRIBUTE_STRUCTURE.RESI	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_ATTRIBUTE_STRUCTURE.RESI	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_ATTRIBUTE_STRUCTURE.RESI	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_ATTRIBUTE_STRUCTURE.RESI	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_ATTRIBUTE_STRUCTURE.RESI	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_ATTRIBUTE_STRUCTURE.SSN	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_ATTRIBUTE_STRUCTURE.TITL	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.ADOP	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.ADOP	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.ADOP	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.ADOP	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.ADOP	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.ADOP	FAMC	INDIVIDUAL_EVENT_STRUCTURE.ADOP.FAMC
INDIVIDUAL_EVENT_STRUCTURE.ADOP	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.ADOP	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.ADOP	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.ADOP	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.ADOP	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.ADOP	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.ADOP	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.ADOP	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.ADOP	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.ADOP.FAMC	ADOP	INDIVIDUAL_EVENT_STRUCTURE.ADOP.FAMC.ADOP
INDIVIDUAL_EVENT_STRUCTURE.BAPM	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.BAPM	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.BAPM	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.BAPM	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.BAPM	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.BAPM	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.BAPM	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.BAPM	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.BAPM	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.BAPM	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.BAPM	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.BAPM	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.BAPM	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.BAPM	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.BARM	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.BARM	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.BARM	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.BARM	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.BARM	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.BARM	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.BARM	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.BARM	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.BARM	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.BARM	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.BARM	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.BARM	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.BARM	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.BARM	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.BASM	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.BASM	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.BASM	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.BASM	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.BASM	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.BASM	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.BASM	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.BASM	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.BASM	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.BASM	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.BASM	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.BASM	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.BASM	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.BASM	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.BIRT	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.BIRT	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.BIRT	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.BIRT	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.BIRT	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.BIRT	FAMC	INDIVIDUAL_EVENT_STRUCTURE.BIRT.FAMC
INDIVIDUAL_EVENT_STRUCTURE.BIRT	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.BIRT	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.BIRT	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.BIRT	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.BIRT	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.BIRT	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.BIRT	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.BIRT	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.BIRT	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.BLES	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.BLES	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.BLES	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.BLES	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.BLES	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.BLES	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.BLES	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.BLES	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.BLES	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.BLES	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.BLES	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.BLES	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.BLES	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.BLES	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.BURI	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.BURI	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.BURI	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.BURI	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.BURI	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.BURI	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.BURI	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.BURI	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.BURI	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.BURI	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.BURI	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.BURI	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.BURI	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.BURI	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.CENS	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.CENS	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.CENS	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.CENS	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.CENS	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.CENS	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.CENS	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.CENS	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.CENS	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.CENS	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.CENS	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.CENS	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.CENS	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.CENS	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.CHR	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.CHR	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.CHR	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.CHR	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.CHR	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.CHR	FAMC	INDIVIDUAL_EVENT_STRUCTURE.BIRT.FAMC
INDIVIDUAL_EVENT_STRUCTURE.CHR	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.CHR	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.CHR	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.CHR	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.CHR	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.CHR	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.CHR	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.CHR	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.CHR	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.CHRA	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.CHRA	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.CHRA	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.CHRA	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.CHRA	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.CHRA	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.CHRA	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.CHRA	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.CHRA	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.CHRA	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.CHRA	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.CHRA	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.CHRA	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.CHRA	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.CONF	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.CONF	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.CONF	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.CONF	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.CONF	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.CONF	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.CONF	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.CONF	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.CONF	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.CONF	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.CONF	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.CONF	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.CONF	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.CONF	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.CREM	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.CREM	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.CREM	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.CREM	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.CREM	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.CREM	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.CREM	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.CREM	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.CREM	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.CREM	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.CREM	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.CREM	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.CREM	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.CREM	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.DEAT	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.DEAT	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.DEAT	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.DEAT	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.DEAT	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.DEAT	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.DEAT	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.DEAT	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.DEAT	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.DEAT	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.DEAT	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.DEAT	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.DEAT	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.DEAT	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.EMIG	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.EMIG	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.EMIG	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.EMIG	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.EMIG	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.EMIG	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.EMIG	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.EMIG	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.EMIG	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.EMIG	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.EMIG	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.EMIG	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.EMIG	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.EMIG	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.EVEN	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.EVEN	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.EVEN	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.EVEN	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.EVEN	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.EVEN	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.EVEN	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.EVEN	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.EVEN	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.EVEN	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.EVEN	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.EVEN	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.EVEN	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.EVEN	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.FCOM	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.FCOM	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.FCOM	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.FCOM	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.FCOM	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.FCOM	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.FCOM	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.FCOM	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.FCOM	OBJE	MULTIMEDIA_LINK.OBJE#2
INDIVIDUAL_EVENT_STRUCTURE.FCOM	PHON	ADDRESS_STRUCTURE.PHON
INDIVIDUAL_EVENT_STRUCTURE.FCOM	PLAC	PLACE_STRUCTURE.PLAC
INDIVIDUAL_EVENT_STRUCTURE.FCOM	SOUR	SOURCE_CITATION.SOUR
INDIVIDUAL_EVENT_STRUCTURE.FCOM	SOUR	SOURCE_CITATION.SOUR#2
INDIVIDUAL_EVENT_STRUCTURE.FCOM	TYPE	EVENT_DETAIL.TYPE
INDIVIDUAL_EVENT_STRUCTURE.GRAD	ADDR	ADDRESS_STRUCTURE.ADDR
INDIVIDUAL_EVENT_STRUCTURE.GRAD	AGE	EVENT_DETAIL.AGE
INDIVIDUAL_EVENT_STRUCTURE.GRAD	AGNC	EVENT_DETAIL.AGNC
INDIVIDUAL_EVENT_STRUCTURE.GRAD	CAUS	EVENT_DETAIL.CAUS
INDIVIDUAL_EVENT_STRUCTURE.GRAD	DATE	EVENT_DETAIL.DATE
INDIVIDUAL_EVENT_STRUCTURE.GRAD	NOTE	NOTE_STRUCTURE.NOTE
INDIVIDUAL_EVENT_STRUCTURE.GRAD	NOTE	NOTE_STRUCTURE.NOTE#2
INDIVIDUAL_EVENT_STRUCTURE.GRAD	OBJE	MULTIMEDIA_LINK.OBJE
INDIVIDUAL_EVENT_STRUCTURE.GRAD	OBJE	MULTIMEDIA_LINK.OBJE#2
